gene_id	score
ADAM28	-1.07827890432392000e-03
DCUN1D1	5.013750069432130000e-04
JADE2	1.56274741410219000e-03
ZIC2	9.727933721606350000e-04
TRIT1	3.678749625968330000e-04
CUL7	-1.46973855034961000e-03
CTNNA1	-2.78621812447768e-05
PHKA2	3.794242231627480000e-04
CNTLN	1.05148370614036000e-03
EPHA3	-1.14870414804659000e-03
HSPA5	-5.622225906709470000e-04
DSG2	2.951829244391370000e-04
GEMIN8	3.802930038796290000e-04
OFD1	3.247758183680470000e-04
GPM6B	1.36734313060676000e-03
PREX2	2.25783667683608000e-03
WDR37	-1.854491495627170000e-04
YTHDC2	3.829705512059130000e-04
CTPS2	7.037818217164020000e-04
ATP6V1H	-8.85657880675074e-05
POLR2B	-1.83814005817191e-05
FAM214A	-1.00625220089144000e-03
TPR	1.667362599121970000e-04
CP	1.28953081371092000e-03
KIAA0556	-3.78541296584380000e-04
DTNBP1	-3.206635638985090000e-04
C12orf4	1.469157796540680000e-04
SCML1	-1.04650412527036000e-03
WWC3	3.26065156793240000e-04
ARHGAP6	-1.58460258440852000e-03
FAM184B	1.150412765951510000e-04
MAP4	-4.240349713358140000e-04
GOPC	-4.76287499863630000e-04
USP28	1.1606651135567000e-03
HDAC9	1.49284061570065000e-03
TSPAN17	6.100859195707370000e-04
NOP16	1.43330904781905000e-03
CC2D2A	-7.98758633011302e-05
RRM2B	1.19741241323266000e-03
ZNF800	-1.12143676410799000e-03
SNX29	-9.11789490381511e-05
LMO3	3.626138112686830000e-04
MRPS10	3.822101712660280000e-04
GUCA1A	1.50433355824566000e-03
RSF1	5.446730311198430000e-04
VPS13D	1.690388747678670000e-04
CELF2	-1.155438306042140000e-04
FAM120A	1.755448232874820000e-04
R3HDM1	6.412560189023440000e-04
COL9A2	-2.85790317580279000e-03
KITLG	-8.386490405128010000e-04
ERCC8	4.683179134548480000e-04
ADAMTS6	-1.53624658687601000e-03
H6PD	-1.54770414012494000e-03
VAMP3	-8.0926026884830000e-04
PER3	1.1729601758287000e-03
EPN3	2.62896749654511000e-03
LTBP1	-1.17700187265461000e-03
RCN1	-9.229501866695910000e-04
ELN	-5.84544847986406e-05
RFC2	8.682277739889980000e-04
ARID1B	3.384018368707470000e-04
CLPTM1L	1.409737545821150000e-04
NEDD4L	5.217522210262740000e-04
PPP1R3F	8.8628039511859e-05
HEXB	-1.66515594830160000e-04
PTCD2	9.095113192440150000e-04
JKAMP	-4.538135803366580000e-04
DKK 3.00	-1.22465801753187000e-03
ARHGEF5	1.0312429443017000e-03
NFE2L3	2.2277790772427000e-03
MCUR1	2.248166760593070000e-04
LIMA1	-3.357050195896050000e-04
LETMD1	-2.112358701028830000e-04
SLC4A8	2.027393793861840000e-04
LAMC3	1.46172881074716000e-03
MAPK9	1.472509249220010000e-04
